,song_names,sentences
Ravenlord,Ravenlord,a flash of light calls out the providers
Ravenlord,Ravenlord,we run this race but we will never crawl
Ravenlord,Ravenlord,all hail hammerfall
Ravenlord,Ravenlord,all for one our burning hearts will live forever
Ravenlord,Ravenlord,one for all together standing strong
Ravenlord,Ravenlord,hammerfall we will prevail
Ravenlord,Ravenlord,hammerfall let us hail
Ravenlord,Ravenlord,just follow your heart dont listen to the crowd
Ravenlord,Ravenlord,the wisdom the voice is calling from inside
Ravenlord,Ravenlord,the time long forgotten will soon come again
Ravenlord,Ravenlord,prepare for the meeting the gods of metal reign
Natural High,Natural High,last night i had a vivid dream
Natural High,Natural High,i found a place where nothings what it seemed
Natural High,Natural High,im bound to walk this earth alone
Natural High,Natural High,i am a hunter and the heir to the throne
Natural High,Natural High,the taste of blood and sweet revenge
Natural High,Natural High,it keeps hammering in my head
Natural High,Natural High,the urge to kill is getting stronger
Natural High,Natural High,im south of heaven north of hell my final place to dwell
Natural High,Natural High,surrender your soul surrender your pride
Natural High,Natural High,please enter my dream find your natural high
Natural High,Natural High,you got nothing to fear cause your rebirth is near
Natural High,Natural High,the bat awakens deep inside
Natural High,Natural High,nowhere to run for my eternal bride
Natural High,Natural High,and when the darkness comes around
Natural High,Natural High,i come alive cause for your sweet blood i am bound
Natural High,Natural High,i taste your blood so bittersweet
Natural High,Natural High,come ease my pain get on your knees
Natural High,Natural High,you know true love is meant to be
Natural High,Natural High,forever is now what it seems this is your final scream
Natural High,Natural High,surrender your soul surrender your pride
Natural High,Natural High,please enter my dream find your natural high
Natural High,Natural High,you got nothing to fear cause your rebirth is near
Natural High,Natural High,so you are born again on a far higher plane
Natural High,Natural High,in my dark neverland youre part of the game
Natural High,Natural High,forever we are forever well be were forever free
Natural High,Natural High,solo stefan oscar
Natural High,Natural High,surrender your soul surrender your pride
Natural High,Natural High,please enter my dream find your natural high
Natural High,Natural High,you got nothing to fear cause your rebirth is near
This Fire Burns Forever,This Fire Burns Forever,fire burn
This Fire Burns Forever,This Fire Burns Forever,danced with the devil
This Fire Burns Forever,This Fire Burns Forever,now your soul is bruised and scarred
This Fire Burns Forever,This Fire Burns Forever,there aint no pride and dignity
This Fire Burns Forever,This Fire Burns Forever,weaving down the rust paved boulevard
This Fire Burns Forever,This Fire Burns Forever,you lived your life thought youd be immortalized
This Fire Burns Forever,This Fire Burns Forever,the moral of your story what goes up must come back down
This Fire Burns Forever,This Fire Burns Forever,fire burn
This Fire Burns Forever,This Fire Burns Forever,the fire burns forever
This Fire Burns Forever,This Fire Burns Forever,fire burn
This Fire Burns Forever,This Fire Burns Forever,the fire burns forever more
This Fire Burns Forever,This Fire Burns Forever,a moment of silence
This Fire Burns Forever,This Fire Burns Forever,just before you hit the stage
This Fire Burns Forever,This Fire Burns Forever,this is your day of reckoning
This Fire Burns Forever,This Fire Burns Forever,to pay back all the dues and turn the page
This Fire Burns Forever,This Fire Burns Forever,you hit rock bottom and you stood the count to ten
This Fire Burns Forever,This Fire Burns Forever,came back to harvest glory now your star will shine again
This Fire Burns Forever,This Fire Burns Forever,fire burn
This Fire Burns Forever,This Fire Burns Forever,the fire burns forever
This Fire Burns Forever,This Fire Burns Forever,fire burn
This Fire Burns Forever,This Fire Burns Forever,the fire burns forever more
This Fire Burns Forever,This Fire Burns Forever,cause every step the light tracers follow
This Fire Burns Forever,This Fire Burns Forever,and every move you make might be your last mistake
This Fire Burns Forever,This Fire Burns Forever,solo stefan
This Fire Burns Forever,This Fire Burns Forever,fire burn
This Fire Burns Forever,This Fire Burns Forever,the fire burns forever
This Fire Burns Forever,This Fire Burns Forever,fire burn
This Fire Burns Forever,This Fire Burns Forever,the fire burns forever more
This Fire Burns Forever,This Fire Burns Forever,fire fire burn
Threshold,Threshold,there are clouds on the horizon
Threshold,Threshold,shifting colours heavy rain
Threshold,Threshold,high above the roaring thunder
Threshold,Threshold,shooting bullets through your brain
Threshold,Threshold,theres something wicked left behind
Threshold,Threshold,a baleful sight a coming
Threshold,Threshold,a sinister state of your minds
Threshold,Threshold,behold the skies the port of heaven
Threshold,Threshold,see the stairway down to hell
Threshold,Threshold,the gate is open lift the curse
Threshold,Threshold,we set aside our dreams and visions
Threshold,Threshold,we are one we will unite
Threshold,Threshold,at the threshold of the universe we will rise
Threshold,Threshold,late at night they heard the sirens
Threshold,Threshold,from a place so far away
Threshold,Threshold,allied forces mighty brethren
Threshold,Threshold,in a vesture of decay
Threshold,Threshold,they are the legions of the night
Threshold,Threshold,turning darkness into
Threshold,Threshold,turning the dark into light
Threshold,Threshold,behold the skies the port of heaven
Threshold,Threshold,see the stairway down to hell
Threshold,Threshold,the gate is open lift the curse
Threshold,Threshold,we set aside our dreams and visions
Threshold,Threshold,we are one we will unite
Threshold,Threshold,at the threshold of the universe
Threshold,Threshold,solo stefan
Threshold,Threshold,behold the skies the port of heaven
Threshold,Threshold,see the stairway down to hell
Threshold,Threshold,the gate is open lift the curse
Threshold,Threshold,we set aside our dreams and visions
Threshold,Threshold,we are one we will unite
Threshold,Threshold,at the threshold of the universe
The Fire Burns Forever,The Fire Burns Forever,fire burn
The Fire Burns Forever,The Fire Burns Forever,danced with the devil
The Fire Burns Forever,The Fire Burns Forever,now your soul is bruised and scarred
The Fire Burns Forever,The Fire Burns Forever,there aint no pride and dignity
The Fire Burns Forever,The Fire Burns Forever,weaving down the rust paved boulevard
The Fire Burns Forever,The Fire Burns Forever,you lived your life thought youd be immortalized
The Fire Burns Forever,The Fire Burns Forever,the moral of your story what goes up must come back down
The Fire Burns Forever,The Fire Burns Forever,fire burn
The Fire Burns Forever,The Fire Burns Forever,the fire burns forever
The Fire Burns Forever,The Fire Burns Forever,fire burn
The Fire Burns Forever,The Fire Burns Forever,the fire burns forever more
The Fire Burns Forever,The Fire Burns Forever,a moment of silence
The Fire Burns Forever,The Fire Burns Forever,just before you hit the stage
The Fire Burns Forever,The Fire Burns Forever,this is your day of reckoning
The Fire Burns Forever,The Fire Burns Forever,to pay back all the dues and turn the page
The Fire Burns Forever,The Fire Burns Forever,you hit rock bottom and you stood the count to ten
The Fire Burns Forever,The Fire Burns Forever,came back to harvest glory now your star will shine again
The Fire Burns Forever,The Fire Burns Forever,fire burn
The Fire Burns Forever,The Fire Burns Forever,the fire burns forever
The Fire Burns Forever,The Fire Burns Forever,fire burn
The Fire Burns Forever,The Fire Burns Forever,the fire burns forever more
The Fire Burns Forever,The Fire Burns Forever,cause every step the light tracers follow
The Fire Burns Forever,The Fire Burns Forever,and every move you make might be your last mistake
The Fire Burns Forever,The Fire Burns Forever,solo stefan
The Fire Burns Forever,The Fire Burns Forever,fire burn
The Fire Burns Forever,The Fire Burns Forever,the fire burns forever
The Fire Burns Forever,The Fire Burns Forever,fire burn
The Fire Burns Forever,The Fire Burns Forever,the fire burns forever more
The Fire Burns Forever,The Fire Burns Forever,fire fire burn
Rebel Inside,Rebel Inside,a battle with pride and ego
Rebel Inside,Rebel Inside,a journey that started long ago
Rebel Inside,Rebel Inside,a lifetime of passion and woe
Rebel Inside,Rebel Inside,rebel inside
Rebel Inside,Rebel Inside,legends in our lifetime
Rebel Inside,Rebel Inside,we have our hearts set in the past
Rebel Inside,Rebel Inside,and eyes towards the future
Rebel Inside,Rebel Inside,rebel inside
Rebel Inside,Rebel Inside,the thunder five are riding once again
Rebel Inside,Rebel Inside,hell bent on blazing their own trail
Rebel Inside,Rebel Inside,to seek our fortune and the fame
Rebel Inside,Rebel Inside,were warriorswarriors
Rebel Inside,Rebel Inside,were sick and tired of trying to explain
Rebel Inside,Rebel Inside,that its our life its not a game
Rebel Inside,Rebel Inside,the need to be will never wane
Rebel Inside,Rebel Inside,were warriorswarriors
Rebel Inside,Rebel Inside,rebel inside
Rebel Inside,Rebel Inside,rebel for life
Rebel Inside,Rebel Inside,rebel inside
Rebel Inside,Rebel Inside,well never bend or bow well be
Rebel Inside,Rebel Inside,always unbroken cant you see
Rebel Inside,Rebel Inside,we deal in steel and liberty
Rebel Inside,Rebel Inside,were immortalizedimmortalized
Rebel Inside,Rebel Inside,realize its not just how we are
Rebel Inside,Rebel Inside,its in our blood to seek the stars
Rebel Inside,Rebel Inside,the crimson red will take us far
Rebel Inside,Rebel Inside,were immortalizedimmortalized
Rebel Inside,Rebel Inside,rebel inside
Rebel Inside,Rebel Inside,rebel for life
Rebel Inside,Rebel Inside,rebel inside
Rebel Inside,Rebel Inside,a battle with pride and ego
Rebel Inside,Rebel Inside,a journey that started long ago
Rebel Inside,Rebel Inside,a lifetime of passion and woe
Rebel Inside,Rebel Inside,rebel inside
Rebel Inside,Rebel Inside,legends in our lifetime
Rebel Inside,Rebel Inside,we have our hearts set in the past
Rebel Inside,Rebel Inside,and eyes towards the future
Rebel Inside,Rebel Inside,rebel inside
Rebel Inside,Rebel Inside,rebel inside 
Rebel Inside,Rebel Inside,rebel for life
Rebel Inside,Rebel Inside,rebel inside
Rebel Inside,Rebel Inside,rebel for life
Rebel Inside,Rebel Inside,rebel inside
Rebel Inside,Rebel Inside,rebel for life
Rebel Inside,Rebel Inside,rebel inside
Natural High,Natural High,last night i had a vivid dream
Natural High,Natural High,i found a place where nothings what it seemed
Natural High,Natural High,im bound to walk this earth alone
Natural High,Natural High,i am a hunter and the heir to the throne
Natural High,Natural High,the taste of blood and sweet revenge
Natural High,Natural High,it keeps hammering in my head
Natural High,Natural High,the urge to kill is getting stronger
Natural High,Natural High,im south of heaven north of hell my final place to dwell
Natural High,Natural High,surrender your soul surrender your pride
Natural High,Natural High,please enter my dream find your natural high
Natural High,Natural High,you got nothing to fear cause your rebirth is near
Natural High,Natural High,the bat awakens deep inside
Natural High,Natural High,nowhere to run for my eternal bride
Natural High,Natural High,and when the darkness comes around
Natural High,Natural High,i come alive cause for your sweet blood i am bound
Natural High,Natural High,i taste your blood so bittersweet
Natural High,Natural High,come ease my pain get on your knees
Natural High,Natural High,you know true love is meant to be
Natural High,Natural High,forever is now what it seems this is your final scream
Natural High,Natural High,surrender your soul surrender your pride
Natural High,Natural High,please enter my dream find your natural high
Natural High,Natural High,you got nothing to fear cause your rebirth is near
Natural High,Natural High,so you are born again on a far higher plane
Natural High,Natural High,in my dark neverland youre part of the game
Natural High,Natural High,forever we are forever well be were forever free
Natural High,Natural High,solo stefan oscar
Natural High,Natural High,surrender your soul surrender your pride
Natural High,Natural High,please enter my dream find your natural high
Natural High,Natural High,you got nothing to fear cause your rebirth is near
"Dark Wings, Dark Words","Dark Wings, Dark Words",its been a long cold winter
"Dark Wings, Dark Words","Dark Wings, Dark Words",widespread snowfall raging storms
"Dark Wings, Dark Words","Dark Wings, Dark Words",cutting winds delusions of our heart and soul
"Dark Wings, Dark Words","Dark Wings, Dark Words",he came down from the mountains
"Dark Wings, Dark Words","Dark Wings, Dark Words",into our frozen world
"Dark Wings, Dark Words","Dark Wings, Dark Words",spoke of revolution
"Dark Wings, Dark Words","Dark Wings, Dark Words",fed us with his words
"Dark Wings, Dark Words","Dark Wings, Dark Words",a sacred man from the other side
"Dark Wings, Dark Words","Dark Wings, Dark Words",he gave us something to believe in
"Dark Wings, Dark Words","Dark Wings, Dark Words",how could we be so blind
"Dark Wings, Dark Words","Dark Wings, Dark Words",his right hand gave us freedom
"Dark Wings, Dark Words","Dark Wings, Dark Words",while the other stole our pride
"Dark Wings, Dark Words","Dark Wings, Dark Words",we thought he had the answers
"Dark Wings, Dark Words","Dark Wings, Dark Words",standing by his side
"Dark Wings, Dark Words","Dark Wings, Dark Words",tales of a world not so far away
"Dark Wings, Dark Words","Dark Wings, Dark Words",we got entangled in his vows
"Dark Wings, Dark Words","Dark Wings, Dark Words",how could we be so blind
"Dark Wings, Dark Words","Dark Wings, Dark Words",oh oh
"Dark Wings, Dark Words","Dark Wings, Dark Words",heed the seven signs
"Dark Wings, Dark Words","Dark Wings, Dark Words",when sun and moon unite
"Dark Wings, Dark Words","Dark Wings, Dark Words",oh oh
"Dark Wings, Dark Words","Dark Wings, Dark Words",fear the dark winged messenger
"Dark Wings, Dark Words","Dark Wings, Dark Words",dread his darkened words
"Dark Wings, Dark Words","Dark Wings, Dark Words",solo stefan
"Dark Wings, Dark Words","Dark Wings, Dark Words",a graven image shattered
"Dark Wings, Dark Words","Dark Wings, Dark Words",a meltdown of our wonderland
"Dark Wings, Dark Words","Dark Wings, Dark Words",as the sun rise slowly
"Dark Wings, Dark Words","Dark Wings, Dark Words",we try to understand
"Dark Wings, Dark Words","Dark Wings, Dark Words",our sacred hearts lost prosperity
"Dark Wings, Dark Words","Dark Wings, Dark Words",but we found a way back home
"Dark Wings, Dark Words","Dark Wings, Dark Words",from dusk came clarity
"Dark Wings, Dark Words","Dark Wings, Dark Words",oh oh
"Dark Wings, Dark Words","Dark Wings, Dark Words",heed the seven signs
"Dark Wings, Dark Words","Dark Wings, Dark Words",when sun and moon unite
"Dark Wings, Dark Words","Dark Wings, Dark Words",oh oh
"Dark Wings, Dark Words","Dark Wings, Dark Words",fear the dark winged messenger
"Dark Wings, Dark Words","Dark Wings, Dark Words",dread his darkened words
Howlin' with the 'Pac,Howlin' with the 'Pac,there is a crying in the nightfall
Howlin' with the 'Pac,Howlin' with the 'Pac,there is a howling in the wind
Howlin' with the 'Pac,Howlin' with the 'Pac,and when the urge is getting stronger
Howlin' with the 'Pac,Howlin' with the 'Pac,we hit the streets the city calls
Howlin' with the 'Pac,Howlin' with the 'Pac,the night is free for all
Howlin' with the 'Pac,Howlin' with the 'Pac,we rule the dark and we do as we please
Howlin' with the 'Pac,Howlin' with the 'Pac,and nothing can stop us no time to catch some z´s
Howlin' with the 'Pac,Howlin' with the 'Pac,howlin with the pac
Howlin' with the 'Pac,Howlin' with the 'Pac,fighting for the right to be
Howlin' with the 'Pac,Howlin' with the 'Pac,howlin with the pac
Howlin' with the 'Pac,Howlin' with the 'Pac,templars of the first degree
Howlin' with the 'Pac,Howlin' with the 'Pac,we never minded any warnings
Howlin' with the 'Pac,Howlin' with the 'Pac,or asked directions from the stars
Howlin' with the 'Pac,Howlin' with the 'Pac,and when the moon start its ascending
Howlin' with the 'Pac,Howlin' with the 'Pac,we feel the rush the inner glow
Howlin' with the 'Pac,Howlin' with the 'Pac,the crimson river flow
Howlin' with the 'Pac,Howlin' with the 'Pac,we have the might and the power to succeed
Howlin' with the 'Pac,Howlin' with the 'Pac,and nothing can stop us cause were the restless breed
Howlin' with the 'Pac,Howlin' with the 'Pac,howlin with the pac
Howlin' with the 'Pac,Howlin' with the 'Pac,fighting for the right to be
Howlin' with the 'Pac,Howlin' with the 'Pac,howlin with the pac
Howlin' with the 'Pac,Howlin' with the 'Pac,templars of the first degree
Howlin' with the 'Pac,Howlin' with the 'Pac,and when our legions falling down
Howlin' with the 'Pac,Howlin' with the 'Pac,we will crawl back from hell reclaim the crown
Howlin' with the 'Pac,Howlin' with the 'Pac,the sign is shining for us
Howlin' with the 'Pac,Howlin' with the 'Pac,its glow will lead us on our way
Howlin' with the 'Pac,Howlin' with the 'Pac,when we are lead astray
Howlin' with the 'Pac,Howlin' with the 'Pac,solo stefan oscar
Howlin' with the 'Pac,Howlin' with the 'Pac,we rule the dark and we do as we please
Howlin' with the 'Pac,Howlin' with the 'Pac,theres no way to stop us no time to catch some z´s
Howlin' with the 'Pac,Howlin' with the 'Pac,howlin with the pac
Howlin' with the 'Pac,Howlin' with the 'Pac,fighting for the right to be
Howlin' with the 'Pac,Howlin' with the 'Pac,howlin with the pac
Howlin' with the 'Pac,Howlin' with the 'Pac,templars of the first degree
Shadow Empire,Shadow Empire,as i open up my eyes
Shadow Empire,Shadow Empire,i see a face i dont recognize
Shadow Empire,Shadow Empire,if the mirror tells the truth
Shadow Empire,Shadow Empire,then who the hell am i
Shadow Empire,Shadow Empire,i scan the surface high and low
Shadow Empire,Shadow Empire,i hear voices from above
Shadow Empire,Shadow Empire,everything i can detect
Shadow Empire,Shadow Empire,not a thing i will neglect
Shadow Empire,Shadow Empire,countdown im coming through
Shadow Empire,Shadow Empire,im the vengeance
Shadow Empire,Shadow Empire,im the danger
Shadow Empire,Shadow Empire,im one the shining sun
Shadow Empire,Shadow Empire,shadow empire shadow empire
Shadow Empire,Shadow Empire,the rise of the machine
Shadow Empire,Shadow Empire,shadow empire shadow empire
Shadow Empire,Shadow Empire,they rise up from their graves to steal our dreams
Shadow Empire,Shadow Empire,i see the world in infrared
Shadow Empire,Shadow Empire,i hear the voices of the dead
Shadow Empire,Shadow Empire,im half man and half machine
Shadow Empire,Shadow Empire,the essence of your dream
Shadow Empire,Shadow Empire,soon the judgment bell will toll
Shadow Empire,Shadow Empire,ill take back everything they stole
Shadow Empire,Shadow Empire,im the judge the hammer falls
Shadow Empire,Shadow Empire,liberty and metal for all
Shadow Empire,Shadow Empire,countdown your time has come
Shadow Empire,Shadow Empire,im the vengeance
Shadow Empire,Shadow Empire,your in danger
Shadow Empire,Shadow Empire,your the one let justice be done
Shadow Empire,Shadow Empire,shadow empire shadow empire
Shadow Empire,Shadow Empire,the rise of the machine
Shadow Empire,Shadow Empire,shadow empire shadow empire
Shadow Empire,Shadow Empire,they rise up from the graves to steal our vivid dreams
Shadow Empire,Shadow Empire,in my heart theres always winter
Shadow Empire,Shadow Empire,can not rest until i found the master key
Shadow Empire,Shadow Empire,the master key of trust
Shadow Empire,Shadow Empire,in my mind the arctic wind blows
Shadow Empire,Shadow Empire,can not sleep i can not rest before the dawn
Shadow Empire,Shadow Empire,brings back the light the light of day
Shadow Empire,Shadow Empire,shadow empire shadow empire
Shadow Empire,Shadow Empire,the rise of the machine
Shadow Empire,Shadow Empire,shadow empire shadow empire
Shadow Empire,Shadow Empire,they rise up from the graves to steal our vivid dreams
Carved in Stone,Carved in Stone,there is silence in the dark
Carved in Stone,Carved in Stone,theres a fire ready to start
Carved in Stone,Carved in Stone,torn pages inked by fury
Carved in Stone,Carved in Stone,the inception of the damned
Carved in Stone,Carved in Stone,they are calling out my name
Carved in Stone,Carved in Stone,come please join us and carry the flame
Carved in Stone,Carved in Stone,our precious time is standing still
Carved in Stone,Carved in Stone,when the future meets the past
Carved in Stone,Carved in Stone,no freedom no glory
Carved in Stone,Carved in Stone,theres no future no past
Carved in Stone,Carved in Stone,this will be our
Carved in Stone,Carved in Stone,one last wish one last dream
Carved in Stone,Carved in Stone,will you follow the masses or follow your own
Carved in Stone,Carved in Stone,one last chance one last scream
Carved in Stone,Carved in Stone,before your future will be carved in stone
Carved in Stone,Carved in Stone,i remember what they said
Carved in Stone,Carved in Stone,i still hear them inside my head
Carved in Stone,Carved in Stone,the legions of damnation
Carved in Stone,Carved in Stone,they keep calling out my name
Carved in Stone,Carved in Stone,the wind blows forever
Carved in Stone,Carved in Stone,but the time is standing still
Carved in Stone,Carved in Stone,this will be our
Carved in Stone,Carved in Stone,one last wish one last dream
Carved in Stone,Carved in Stone,will you follow the masses or follow your own
Carved in Stone,Carved in Stone,one last chance one last scream
Carved in Stone,Carved in Stone,before your future will be carved in stone
Carved in Stone,Carved in Stone,knock a knock on my door
Carved in Stone,Carved in Stone,please revoke what youre asking for
Carved in Stone,Carved in Stone,solo oscar
Carved in Stone,Carved in Stone,one last wish one last dream
Carved in Stone,Carved in Stone,will you follow the masses or follow your own
Carved in Stone,Carved in Stone,one last chance one last scream
Carved in Stone,Carved in Stone,before your future will be carved in stone
Genocide,Genocide,once there was a time when we were standing
Genocide,Genocide,back to back against the whole conception
Genocide,Genocide,once we had it all the world was our pleasure dome
Genocide,Genocide,times were changing fast our dreams were fading
Genocide,Genocide,black the darkness fell on our creation
Genocide,Genocide,time was running out we were falling one by one
Genocide,Genocide,we live by honor
Genocide,Genocide,we fight for freedom
Genocide,Genocide,we die but you cant slay our pride
Genocide,Genocide,behind these walls we deem take hold of the dream
Genocide,Genocide,to live our lives as we please   metal genocide
Genocide,Genocide,no fear we know the end is near
Genocide,Genocide,one day we will retaliate   genocide
Genocide,Genocide,fall mighty babylon your might is declining
Genocide,Genocide,fast your on your knees repent your sinning
Genocide,Genocide,fall beyond the realms of hell we are born again
Genocide,Genocide,we live by honor
Genocide,Genocide,we fight for freedom
Genocide,Genocide,we die but you cant slay our pride
Genocide,Genocide,behind these walls we deem  take hold of the dream
Genocide,Genocide,to live our lives as we please   metal genocide
Genocide,Genocide,no fear we know the end is near
Genocide,Genocide,one day we will retaliate   genocide
Genocide,Genocide,solo stefan
Genocide,Genocide,behind these walls we deem  take hold of the dream
Genocide,Genocide,to live our lives as we please   metal genocide
Genocide,Genocide,no fear we know the end is near
Genocide,Genocide,one day we will retaliate   genocide
Titan,Titan,the gate is closed the sky is burning
Titan,Titan,dark clouds are closing in
Titan,Titan,a world at war no revelation couldve
Titan,Titan,predicted the mankinds fall
Titan,Titan,somewhere above   beyond the lunar skies
Titan,Titan,well be resurrected  ah
Titan,Titan,what have we done   we paid the highest price
Titan,Titan,no shelter for the undeserving masses
Titan,Titan,standing in line for our final journey
Titan,Titan,into space and beyond
Titan,Titan,a final sigh a breath of hope we gotta
Titan,Titan,heed the terminal call
Titan,Titan,counting the stars   we pulled the shortest straw
Titan,Titan,life is fading rapidly   ah
Titan,Titan,nothing remains   a withered devils claw
Titan,Titan,sole surrvivors picking up the pieces
Titan,Titan,titan
Titan,Titan,even the dark has a silver lining
Titan,Titan,titan titan
Titan,Titan,shining bright so far beyond the sun
Titan,Titan,solo stefan
Titan,Titan,so this is the new beginning
Titan,Titan,so far away so far away
Titan,Titan,solooscar
Titan,Titan,we leave our past behind us
Titan,Titan,no turning back no turning back
Titan,Titan,titan
Titan,Titan,even the dark has a silver lining
Titan,Titan,titan titan
Titan,Titan,shining bright so far beyond the sun
Titan,Titan,titan
Titan,Titan,even the dark has a silver lining
Titan,Titan,titan titan
Titan,Titan,shining bright so far beyond the sun
Titan,Titan,oh oh
Titan,Titan,we will fly
Titan,Titan,ohoh
Titan,Titan,were flying into space
Titan,Titan,oh oh
Titan,Titan,fly fly away
Titan,Titan,oh oh
Titan,Titan,were flying into space
Threshold,Threshold,there are clouds on the horizon
Threshold,Threshold,shifting colours heavy rain
Threshold,Threshold,high above the roaring thunder
Threshold,Threshold,shooting bullets through your brain
Threshold,Threshold,theres something wicked left behind
Threshold,Threshold,a baleful sight a coming
Threshold,Threshold,a sinister state of your minds
Threshold,Threshold,behold the skies the port of heaven
Threshold,Threshold,see the stairway down to hell
Threshold,Threshold,the gate is open lift the curse
Threshold,Threshold,we set aside our dreams and visions
Threshold,Threshold,we are one we will unite
Threshold,Threshold,at the threshold of the universe we will rise
Threshold,Threshold,late at night they heard the sirens
Threshold,Threshold,from a place so far away
Threshold,Threshold,allied forces mighty brethren
Threshold,Threshold,in a vesture of decay
Threshold,Threshold,they are the legions of the night
Threshold,Threshold,turning darkness into
Threshold,Threshold,turning the dark into light
Threshold,Threshold,behold the skies the port of heaven
Threshold,Threshold,see the stairway down to hell
Threshold,Threshold,the gate is open lift the curse
Threshold,Threshold,we set aside our dreams and visions
Threshold,Threshold,we are one we will unite
Threshold,Threshold,at the threshold of the universe
Threshold,Threshold,solo stefan
Threshold,Threshold,behold the skies the port of heaven
Threshold,Threshold,see the stairway down to hell
Threshold,Threshold,the gate is open lift the curse
Threshold,Threshold,we set aside our dreams and visions
Threshold,Threshold,we are one we will unite
Threshold,Threshold,at the threshold of the universe
Fire Burns Forever,Fire Burns Forever,fire burn
Fire Burns Forever,Fire Burns Forever,danced with the devil
Fire Burns Forever,Fire Burns Forever,now your soul is bruised and scarred
Fire Burns Forever,Fire Burns Forever,there aint no pride and dignity
Fire Burns Forever,Fire Burns Forever,weaving down the rust paved boulevard
Fire Burns Forever,Fire Burns Forever,you lived your life thought youd be immortalized
Fire Burns Forever,Fire Burns Forever,the moral of your story what goes up must come back down
Fire Burns Forever,Fire Burns Forever,fire burn
Fire Burns Forever,Fire Burns Forever,the fire burns forever
Fire Burns Forever,Fire Burns Forever,fire burn
Fire Burns Forever,Fire Burns Forever,the fire burns forever more
Fire Burns Forever,Fire Burns Forever,a moment of silence
Fire Burns Forever,Fire Burns Forever,just before you hit the stage
Fire Burns Forever,Fire Burns Forever,this is your day of reckoning
Fire Burns Forever,Fire Burns Forever,to pay back all the dues and turn the page
Fire Burns Forever,Fire Burns Forever,you hit rock bottom and you stood the count to ten
Fire Burns Forever,Fire Burns Forever,came back to harvest glory now your star will shine again
Fire Burns Forever,Fire Burns Forever,fire burn
Fire Burns Forever,Fire Burns Forever,the fire burns forever
Fire Burns Forever,Fire Burns Forever,fire burn
Fire Burns Forever,Fire Burns Forever,the fire burns forever more
Fire Burns Forever,Fire Burns Forever,cause every step the light tracers follow
Fire Burns Forever,Fire Burns Forever,and every move you make might be your last mistake
Fire Burns Forever,Fire Burns Forever,solo stefan
Fire Burns Forever,Fire Burns Forever,fire burn
Fire Burns Forever,Fire Burns Forever,the fire burns forever
Fire Burns Forever,Fire Burns Forever,fire burn
Fire Burns Forever,Fire Burns Forever,the fire burns forever more
Fire Burns Forever,Fire Burns Forever,fire fire burn
Rebel Inside,Rebel Inside,a battle with pride and ego
Rebel Inside,Rebel Inside,a journey that started long ago
Rebel Inside,Rebel Inside,a lifetime of passion and woe
Rebel Inside,Rebel Inside,rebel inside
Rebel Inside,Rebel Inside,legends in our lifetime
Rebel Inside,Rebel Inside,we have our hearts set in the past
Rebel Inside,Rebel Inside,and eyes towards the future
Rebel Inside,Rebel Inside,rebel inside
Rebel Inside,Rebel Inside,the thunder five are riding once again
Rebel Inside,Rebel Inside,hell bent on blazing their own trail
Rebel Inside,Rebel Inside,to seek our fortune and the fame
Rebel Inside,Rebel Inside,were warriorswarriors
Rebel Inside,Rebel Inside,were sick and tired of trying to explain
Rebel Inside,Rebel Inside,that its our life its not a game
Rebel Inside,Rebel Inside,the need to be will never wane
Rebel Inside,Rebel Inside,were warriorswarriors
Rebel Inside,Rebel Inside,rebel inside
Rebel Inside,Rebel Inside,rebel for life
Rebel Inside,Rebel Inside,rebel inside
Rebel Inside,Rebel Inside,well never bend or bow well be
Rebel Inside,Rebel Inside,always unbroken cant you see
Rebel Inside,Rebel Inside,we deal in steel and liberty
Rebel Inside,Rebel Inside,were immortalizedimmortalized
Rebel Inside,Rebel Inside,realize its not just how we are
Rebel Inside,Rebel Inside,its in our blood to seek the stars
Rebel Inside,Rebel Inside,the crimson red will take us far
Rebel Inside,Rebel Inside,were immortalizedimmortalized
Rebel Inside,Rebel Inside,rebel inside
Rebel Inside,Rebel Inside,rebel for life
Rebel Inside,Rebel Inside,rebel inside
Rebel Inside,Rebel Inside,a battle with pride and ego
Rebel Inside,Rebel Inside,a journey that started long ago
Rebel Inside,Rebel Inside,a lifetime of passion and woe
Rebel Inside,Rebel Inside,rebel inside
Rebel Inside,Rebel Inside,legends in our lifetime
Rebel Inside,Rebel Inside,we have our hearts set in the past
Rebel Inside,Rebel Inside,and eyes towards the future
Rebel Inside,Rebel Inside,rebel inside
Rebel Inside,Rebel Inside,rebel inside 
Rebel Inside,Rebel Inside,rebel for life
Rebel Inside,Rebel Inside,rebel inside
Rebel Inside,Rebel Inside,rebel for life
Rebel Inside,Rebel Inside,rebel inside
Rebel Inside,Rebel Inside,rebel for life
Rebel Inside,Rebel Inside,rebel inside
Natural High,Natural High,last night i had a vivid dream
Natural High,Natural High,i found a place where nothings what it seemed
Natural High,Natural High,im bound to walk this earth alone
Natural High,Natural High,i am a hunter and the heir to the throne
Natural High,Natural High,the taste of blood and sweet revenge
Natural High,Natural High,it keeps hammering in my head
Natural High,Natural High,the urge to kill is getting stronger
Natural High,Natural High,im south of heaven north of hell my final place to dwell
Natural High,Natural High,surrender your soul surrender your pride
Natural High,Natural High,please enter my dream find your natural high
Natural High,Natural High,you got nothing to fear cause your rebirth is near
Natural High,Natural High,the bat awakens deep inside
